Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
1/1/2021,COVID-21: Lethal Virus,"The climate change has released an ancient rabies virus trapped in the Antarctica ice. A female scientist tries to get to the laboratory to create a cure to save the world, protected by an eccentric and two members of the special forces.",21.999,219,5.5,en,"Science Fiction, Thriller, Horror",https://image.tmdb.org/t/p/original/5z8wVwHtFXbRWP2dwVPTj9906HS.jpg
1/1/2021,Shadow in the Cloud,A WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,66.479,545,5.8,en,"Horror, Action, War",https://image.tmdb.org/t/p/original/t7EUMSlfUN3jUSZUJOLURAzJzZs.jpg
1/1/2021,The Last Warrior: Root of Evil,"Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie.",391.957,89,7.1,ru,"Fantasy, Adventure, Comedy",https://image.tmdb.org/t/p/original/4qE7mvUYGY5epfcgeJpM6EfHgq5.jpg
1/1/2021,The Ogglies: Welcome to Smelliville,"The Oggly family arrive at the municipal rubbish dump of Smelliville and must look for a new home, but they never feel really welcome anywhere. They stink and are for most humans just a tad too oggly. When Firebottom, the family dragon, crash-lands on the run-down rubbish tip of the small town of Smelliville, the Ogglies at once feel at home. And it's here they want to stay.",49.618,43,7.3,en,"Animation, Drama, Adventure, Family",https://image.tmdb.org/t/p/original/w7PJ7fBEYOuaAMKfYa4zmw45v3N.jpg
1/2/2021,Stranded,Tensions run high while food runs low as six influencers find themselves stranded on a secluded island after plans for a weekend escape go awry.,28.112,38,4.8,pt,Drama,https://image.tmdb.org/t/p/original/jZonuUeC9bH2D5A609w7nkplhyj.jpg
1/7/2021,Maya the Bee: The Golden Orb,"When Maya, a headstrong little bee, and her best friend Willi, rescue an ant princess they find themselves in the middle of an epic bug battle that will take them to strange new worlds and test their friendship to its limits.",55.968,67,6.6,en,"Adventure, Animation, Family",https://image.tmdb.org/t/p/original/tMS2qcbhbkFpcwLnbUE9o9IK4HH.jpg
1/8/2021,Redemption Day,"When his wife is kidnapped by terrorists for ransom, veteran war hero Brad Paxton races against the clock to rescue her in a daring and deadly operation that pits him against powerful and dark forces.",137.585,194,6.3,en,Action,https://image.tmdb.org/t/p/original/y1Tk1LUwS3nRlugiXnag6Bu1ToG.jpg
1/12/2021,Batman: Soul of the Dragon,"Bruce Wayne faces a deadly menace from his past, with the help of three former classmates: world-renowned martial artists Richard Dragon, Ben Turner and Lady Shiva.",57.707,217,7,en,"Animation, Action, Adventure, Crime, Fantasy",https://image.tmdb.org/t/p/original/uDhnTtSxU5a8DtZdbbin3aZmkmU.jpg
1/12/2021,Butchers,"A family of sadistic butchers lives deep inside the backcountry. From the dead of winter to the dog days of summer, anyone who crosses their path is dead meat.",79.58,140,4.9,en,Horror,https://image.tmdb.org/t/p/original/xLbuMxKORru3oTlItLBWpI5WJxR.jpg
1/13/2021,Monster Family 2,"To free Baba Yaga and Renfield from the clutches of Monster Hunter Mila Starr, the Wishbone Family once more transforms into a Vampire, Frankenstein's Monster, a Mummy and a Werewolf but when aided by their three pet bats, the Monster Family zooms around the world again to save their friends, make new monstrous acquaintances.",167.912,28,7.1,en,"Animation, Family",https://image.tmdb.org/t/p/original/ypT4MsOuJrrFtlGShj3DrllIHN3.jpg
1/13/2021,The White Tiger,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,20.821,658,6.9,en,Drama,https://image.tmdb.org/t/p/original/7K4mdWaLGF2F4ASb2L12tlya9c9.jpg
1/14/2021,Bloody Hell,"A man with a mysterious past flees the country to escape his own personal hell... only to arrive somewhere much worse. In an effort to survive this new horror, he turns to his personified conscience.",14.788,102,6.5,en,"Horror, Comedy",https://image.tmdb.org/t/p/original/h9xcYfPZ19qAeJf0RmPnWf7pgAQ.jpg
1/14/2021,Music,"Zu, a free spirit estranged from her family, suddenly finds herself the sole guardian of her half-sister, Music, a teenager on the autism spectrum whose whole world order has been beautifully crafted by her late grandmother. The film soon challenges whether it is Zu or Music who has a better view of the world, and that love, trust, and being able to be there for each other is everything.",19.612,94,5.7,en,"Music, Drama",https://image.tmdb.org/t/p/original/xzDXq7ofNkvIovB6Vb8KZpjqkK0.jpg
1/14/2021,The Dig,"As WWII looms, a wealthy widow hires an amateur archaeologist to excavate the burial mounds on her estate. When they make a historic discovery, the echoes of Britain's past resonate in the face of its uncertain future‎.",20.083,848,6.9,en,"Drama, History",https://image.tmdb.org/t/p/original/dFDNb9Gk1kyLRcconpj7Mc7C7IL.jpg
1/15/2021,Double Dad,"While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.",17.585,133,6.8,pt,"Comedy, Drama, Family",https://image.tmdb.org/t/p/original/4oO0eRoCtA8pDV67VRpGeXBhtxH.jpg
1/15/2021,Outside the Wire,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",101.732,1416,6.4,en,"Thriller, Action, Science Fiction",https://image.tmdb.org/t/p/original/6XYLiMxHAaCsoyrVo38LBWMw2p8.jpg
1/15/2021,The Lift,"On their fifth wedding anniversary, Sitio and Ana start arguing inside an elevator that keeps opening in their same floor. Emotionally and physically trapped, the two will have to work together to find a way out.",13.892,46,6,es,"Science Fiction, Romance, Comedy",https://image.tmdb.org/t/p/original/rexHPVJLZxTMTSRIsEjelkhk0Td.jpg
