title,year,crit_score,aud_score,mpaa,hours,minutes
Black Panther,2018,96,79,PG-13,2,14
Citizen Kane,1941,99,90,PG,1,59
Parasite,2019,98,90,R,2,12
Avengers: Endgame,2019,94,90,PG-13,3,1
Casablanca,1942,99,95,PG,1,42
Knives Out,2019,97,92,PG-13,2,10
Us,2019,93,59,R,1,56
Toy Story 4,2019,97,94,G,1,40
Lady Bird,2017,99,79,R,1,34
Mission: Impossible - Fallout,2018,97,88,PG-13,2,27
BlacKkKlansman,2018,96,83,R,2,14
The Wizard of Oz,1939,98,89,G,1,41
Get Out,2017,98,86,R,1,44
The Irishman,2019,95,86,R,3,29
Mad Max: Fury Road,2015,97,86,R,2,0
Spider-Man: Into the Spider-Verse,2018,97,93,PG,1,57
Moonlight,2016,98,79,R,1,51
A Star is Born,2018,90,79,R,2,15
Wonder Woman,2017,93,83,PG-13,2,21
Inside Out,2015,98,89,PG,1,35
