region,Income
alabama,3624
alaska,6315
arizona,4530
arkansas,3378
california,5114
colorado,4884
connecticut,5348
delaware,4809
florida,4815
georgia,4091
hawaii,4963
idaho,4119
illinois,5107
indiana,4458
iowa,4628
kansas,4669
kentucky,3712
louisiana,3545
maine,3694
maryland,5299
massachusetts,4755
michigan,4751
minnesota,4675
mississippi,3098
missouri,4254
montana,4347
nebraska,4508
nevada,5149
new hampshire,4281
new jersey,5237
new mexico,3601
new york,4903
north carolina,3875
north dakota,5087
ohio,4561
oklahoma,3983
oregon,4660
pennsylvania,4449
rhode island,4558
south carolina,3635
south dakota,4167
tennessee,3821
texas,4188
utah,4022
vermont,3907
virginia,4701
washington,4864
west virginia,3617
wisconsin,4468
wyoming,4566
